jobTitel,Company,Location,jobDescription,postDate
Data Scientist/Consultant Business Intelligence BI (m/w/d),SKOPOS GROUP,Hürth,"Job Description


employment type
permanent employment



Full job description






Well-known customer portfolio

We work for the top companies in Germany in the automotive, retail, tourism, FMCG and beyond sectors.





Start-up flair in an established group

Hurth is the new Berlin! As the youngest member of the group of companies, there is no ""we've always done it this way"" with us : An innovative and dynamic working atmosphere is our everyday life. With the parent company behind us, we also offer long-term security.





job ticket

We are only five minutes by train from the south of Cologne. We offer the right job ticket so that you can plunge straight into life in Cologne after work.





Gym & office massage

With us you get a subsidy for your membership in the fitness studio. And if the training was too hard, you can have your muscles kneaded once a week with our office massage.





Employer-funded pension

Retirement provision? Boring! However, it is never too early to start. We will pay you a subsidy to your bAV, so that saving really pays off for you.





Mobility & Yoga courses

Various courses are held in our own yoga room to keep you healthy and fit. This includes once-a-week mobility and yoga classes given by experienced trainers.











This is us
You are looking for a versatile position in project management, but at the same time your heart beats for data and analysis. In this position you will find both!
For us, data is not just data. At SKOPOS ELEMENTS, talented data scientists support future-oriented companies and people on their way to becoming a data-driven company - always success-oriented.As part of the SKOPOS GROUP, we have been a leading provider of market research since 1995 and currently employ over 120 people. Join our growth and take advantage of your career opportunity in our data science team in Hürth near Cologne. We are looking for you for our team!


These are your tasks

You lead and support our customer projects in the areas of business intelligence, customer analytics and marketing intelligence.
You control the projects with a view to achieving the project goals, budget and customer requirements.
You accompany the project team with your professional and personal experience in all phases (project setup, data preparation and analysis, development of machine learning models and final workshop).
As part of our customer projects, you will develop ETL pipelines for automated data integration and processing using Alteryx or KNIME.
You create target group-oriented reporting solutions in Tableau or PowerBI and advise our customers on the optimal use in their company.
You create project offers including calculations.
You work closely with our contact persons on the customer side and the data science team.
You are part of our team. Together we look beyond the box of classic business intelligence issues: The integration of customer experience, BI data and market intelligence enables our customers to take a holistic view.



You bring that with you

You have successfully completed your studies in business informatics, computer science, mathematics, data science, psychology, empirical social science (e.g. with a focus on data science/machine learning, statistics, psychology, sociology) or a comparable subject with a focus on data analysis.
You have at least 4 years of professional experience in the field of business intelligence or data science (ideally consulting experience - at least extensive experience with projects, different stakeholders and management presentations).
You have experience in using current BI tools such as Tableau or Microsoft Power BI. You are no stranger to data engineering using software solutions such as KNIME or Alteryx. Alternatively, you have basic knowledge of SQL, Python or R.
You work in a structured manner, have strong communication skills and keep track of projects running in parallel.
You use your very good knowledge of German and English (both at least C1 level) confidently.
You are curious and share our mission ""Get more out of data"".



Why we

Diverse environment. Involved in exciting projects right from the start. Step by step you can develop yourself with us.
Innovative, dynamic working atmosphere. Open, first-name corporate culture and communication at eye level.
Systematic, versatile development. Cyclical feedback talks (induction/annual and semi-annual talks, systematic development opportunities, SKOPOS School. Do it together. Certification, e.g. Tableau or Alteryx).
Active participation and teamwork. Develop your own ideas and experiences for new products. We grow together.
Permanent position.
Optimal public transport connection or free parking space in the Euronova Campus Hürth.
Hybrid working with mobile office.
Grants, Life Balance and Health. Subsidies for the job ticket, office massage and fitness studio, participation in company pension schemes, company doctor, free Shrove Monday and much more.
Events: team outings, company celebrations, anniversary trips, Christmas parties or just after work.







Benefits and advantages when you work for us
benefits

Take a look at who is already working in our team
team



And now?
Here you will find insights from the SKOPOS GROUP and SKOPOS ELEMENTS.
We look forward to receiving your application – including your starting date and salary expectations.
Your contact:

Angela Buschbeck (SKOPOS GROUP/HR)
Christopher Harms (SKOPOS ELEMENTS)

Tel. 02233/9988-880",19/05/2022
Senior Consultant - Data Governance (m/f/x),OSTHUS GmbH,"Remote (Aachen, Germany)","ABOUT US:
OSTHUS brings innovative scientific informatics applications to many of the world’s largest pharmaceutical, Crop Sciences and Life Sciences companies. We provide both software solutions as well as consulting expertise to help guide your business strategy in adopting valuable technologies. With teams of unique interdisciplinary experts, we help our clients solve new kinds of global data-driven challenges in Pharma and Life Sciences.

WHAT WE OFFER YOU:
Working in a professional team without rigid structures
Opportunities to contribute with and develop your own ideas
Many opportunities to develop personally and professionally.
We offer individual coaching, training, language courses, and online training
Working in international teams with flat hierarchies
Flexible working hours and home office options
Team events, such as breakfast together, bowling, a summer party, and a Christmas party
Adequate remuneration and company pension scheme

HERE’S WHAT YOU’LL DO:

You lead international projects and you are the central contact person for the business department and customers
You develop strategies and concepts for data quality management, mainly working with IDQ from Informatica
Introduction of data governance frameworks 
Conduction of data management maturity assessments at our customers
You lead the development and management of databases
You build strong relationships with our customers and you conduct workshops and meetings
Leading sales process and content management of data governance marketing campaigns


WHAT YOU NEED TO SUCCEED: 

You have a complete study in computer science, business informatics, natural sciences or comparable
Experience in the development and implementation of data quality strategies
You have experience in leading project teams
Knowledge of data management and data quality tools, preferably with Informatica or Collibra
A strong customer orientation and professional communication style
You have an ability to analyze complex issues and question them critically
You have very good knowledge of the English language, in speech and writing
First experience in the field of life science is a plus

A FEW TIPS ON HOW TO APPLY: 
You were mentally checking boxes on our requirements? Great! 
 Please e-mail your application and résumé to career@osthus.com. Make sure to include the following: 
When you would like to start at OSTHUS, 
how much you would like to earn with us, and
what attracts you to this job with us. 
Finally, refer to “Senior Consultant - Data Governance (m/f/x)” in the subject line.
This way, we can get a good picture of how well we fit together. You can address your application to our colleague Frauke Nonne.  
If you have any questions upfront, please do not hesitate to contact us via email or simply send us a message via WhatsApp: +49 151 11435345.
Thank you for your time and your interest! We look forward to hearing from you.",18/05/2022
Data Warehouse Inhouse Consultant Microsoft Business Intelligence w/m/d,Computacenter,"50170 Kerpen, Germany","Data Warehouse Inhouse Consultant Microsoft Business Intelligence w/m/d








Location: Germany - Kerpen, Germany - Frankfurt, Germany - Cologne, Germany - Ratingen | Job ID: 147321 | Business area: In-house IT | Career Level: Professionals
Your tasksYour colleagues and managers from sales, logistics and many other departments have a lot of questions - and you have the answers with your solutions. Because you are part of an international business intelligence team and inspire with your competence and personality and advise your internal customers as an analyst and developer in the internal data warehouse environment.
Your field of activity includes:
Du bist erste Kontaktperson, wenn es um die Analyse von komplexen Reporting-Anforderungen aus Deinen unterschiedlichen Fachbereichen geht. Dabei hältst Du als Expert:in engen Kontakt zu den wichtigsten Stakeholdern sowie Usern und berätst diese hinsichtlich Inhalt und Gestaltung von neuen bzw. der Erweiterung der bestehenden Produkte. Dein Ziel: die höchstmögliche Kundenzufriedenheit und Sicherstellung der Wettbewerbsfähigkeit unserer Lösungen.
In your role, you like to be responsible for the concept, modeling and implementation of sophisticated business intelligence solutions and support all phases of the development process (requirements analysis, design, technical development, report development, quality assurance, testing and deployment) using the latest Microsoft development tools and SQL Server versions. You are open to modern data warehouse approaches and ideally have already gained initial experience in the MS Azure Cloud.
You ensure ongoing production operations in cooperation with various teams. In the event of a problem, you know the technical and functional details and support qualified third-level support.
your profile
Business or technical training and/or a relevant degree, e.g. B. (business) informatics
Enjoy playing a decisive role in shaping the future of both your team and the group-wide reporting platform
Good knowledge of database development and design, ideally in the Microsoft Business Intelligence environment
Initial experience in cloud BI (Azure BI, Synapse) or ML and AI is an advantage
Analytical thinking and a structured approach
Enjoy working in an international team
Willingness to constantly develop personally and professionally
Confident presentation skills in English and German
We offer
Mobile working and flexible working hours - trust is good. Point.
Vacation - time out? At least 30 days holiday plus custom days, paid special leave and sabbaticals.
Further development – ​​we invest in you! Whether internal or external training, specialist or management careers, conferences, events, mentoring or coaching.
Culture – The “you” applies to us across all levels. We are approachable - and simply ourselves.
Family – What counts for us is what counts for you! We offer marriage and childbirth benefits, family service support—and much more.
about us
Computacenter is an international IT company with a 40-year track record. In Germany alone, around 7,000 people are driving the digital transformation forward: They develop IT strategies, implement new technologies or manage complex infrastructures - for the majority of DAX companies as well as for large public clients.
As an independent partner of all leading IT manufacturers (such as Microsoft, Apple, IBM, HP, Cisco, Intel), we are active in all relevant technology areas: from cyber security, cloud and artificial intelligence to agile software development and Workplace solutions for the Smart Factory.
And the best thing about us? Quite simply: the people who work for us, in their diversity, with their potential and their individual life plans.
Sounds good? Is also good! Apply now.
Your online application
We look forward to your online application, regardless of gender, age, sexual orientation, nationality, ethnic and social background, or religion. Applications from severely disabled people are welcome at Computacenter and will be given preference if they are equally suitable.
Ready to apply?
This works best via our job portal. Just click on the ""Apply Now"" button and off you go!
Questions about the job?
Then send an email to JANINA.JANSEN@COMPUTACENTER.COM.",11/05/2022
Working Student - Machine Learning / Data Science - Product Development (m/f/d),Aon's Assessment Solutions,"20457 Hamburg, Germany","Full job description


Aon's Assessment Solutions provides clients with powerful tools and insights to help them make better talent decisions at every stage of the employee lifecycle. This includes pre-hire assessments, identifying future leaders, screening for digital skills and agility, and AI-enabled solutions. Aon's Assessment Solutions undertakes 30 million assessments each year in 90 countries and 40 languages.
Come and join our fabulous team as we continue to build our reputation for excellence.
AAS Innovation Team delivers breakthrough assessment solutions based on technology and psychological science.
The team is committed to delivering on time and on focus. Deliveries include technologies, research projects, patents, publications, marketing materials, and implementations.
The team drives AAS effort in creating ground-breaking innovation. Team members are encouraged to share and evaluate ideas. Furthermore, they assist colleagues across AON Assessment Solutions and that have innovative ideas. Out-of-the-box innovation is nurtured through quarterly side projects in which we research on frontier topics.
the position
We are looking for an ambitious and curious working student in Germany. The primary location is Hamburg, but we are open to a remote solution within Germany. The position is fully in English. No level of German is required.
As part of the Innovation Team, you will support us in a variety of research projects laying the groundwork for future solution development and research driving innovation in personnel selection.
You will get the behind-the-curtains experience of how innovative psychometric tests and systems are developed, and you will practically apply your scientific and mathematical skills to an impactful and growing industry.
core activities

Innovation research: You will support the team in exploring new technologies and their applications. This involves reading, understanding, and summarizing existing scientific, and specialistic from different disciplines
Research-oriented coding: You will support us in data preparation, prototype modelling, microservice API and in writing Python, MATLAB, R, Java, or C/C++ codes.
Scientific writing: You will help the team in writing patents and papers
Presentations: You will help prepare and deliver internal presentations to the team and stakeholders.
Testing and research: You will help plan and implement internal studies to evaluate the effectiveness of new methodologies.

Skills and Qualifications

You are enrolled as a student with a main emphasis on computer science, mathematics, engineering, quantitative science or data science
You have a good understanding of probabilities, statistics, and hypothesis testing
You have some knowledge about machine learning/AI methods
You know coding principles and have working proficiency with Python
You are familiar with one or more deep learning libraries (e.g. Keras, Pytorch, Tensorflow, etc.)
You are passionate about research and are keen to learn more about behavioral science
You catch up on things quickly, work with attention to detail, and on your own initiative
You adapt quickly to changes and are open-minded
You would like to work with us for at least 12 months (internship up to 3 months, working student 9+ months)
You are proficient in English
You enjoy collaborating with experts from diverse cultural and academic backgrounds
(Preferred but not required) A proven track record of scientific publications, with preference in ML/CV/NLP/Speech journals / conferences.

What we offer
Our company emphasizes pioneer thinking, client-centricity, career progression, and personal and professional integrity. This includes having…

a stimulating work environment
flat hierarchies and open-minded international teams
a supportive and responsive team culture
Opportunities to learn in a dynamic and fast paced working environment
Being engaged in innovative and stimulating project",25/04/2022
Data Analyst (m/w/d),AOK-Bundesverband,"10178 Berlin, Germany","Full job description







A variety of tasks await you



Database queries and processing of billing data from statutory health insurance for use in research projects
Organization and implementation of secure data transmissions to external research institutions
Product management and quality assurance of an AOK internal data analysis tool
Big Data & Analytics: Linking different data sources to sophisticated analytical solutions





Your skills



Experience in analytical work in the Big Data environment
Very good knowledge of relational database systems (e.g. Oracle, MS SQL Server) and data modelling
Security in programming with SQL and Python or R
Experience in the practical application of methods of data analysis: statistics, simulation and optimization, machine learning
Practical know-how in the application of data science methods
Very good written and spoken German language skills Enjoy working in an interdisciplinary team





These are your benefits



Meaningful and responsible tasks that you can identify with
Great creative freedom in your daily work
Diverse opportunities to reconcile work, family and private life





We will gladly answer your questions



We look forward to receiving your application by May 12, 2022 . Please understand that for data protection reasons we can only accept applications via our online form.
Christian Günster (Phone 030 34646-2128) is at your disposal for more detailed information on the area of ​​responsibility .
If you have any questions about the application process, please contact our human resources department (phone 030 34646-2882).",16/04/2022
Analyst:in Business Intelligence/Reporting,SV SparkassenVersicherung,Deutschland,"For our Business Intelligence & Data Analytics Sales group we are looking for an
Analyst:in Business Intelligence/Reporting
The group with around 5,000 employees and several locations is part of the Sparkassen-Finanzgruppe and offers all types of insurance. We are ideally positioned on the market with innovative products. Our focus is on the customer, but sustainability and social commitment are also important to us.
We offer:

An exciting and challenging field of activity in a motivated team.
This responsible, varied job with a high degree of personal responsibility and theOpportunity to actively help shape the SV.
A performance-related salary, extensive social benefits and an above-average Retirement provision.

Your main tasks:

You evaluate customer data to optimize future sales events.
You develop potential analyzes of buying affinity, cancellation forecasts and provide supportother things, the pilot phases in sales.
You will be involved in the strategy project Focus Customer in providing data.
You drive the development of the tool for sales controlling and reporting.
You create requirements for the transfer of the sales Big Data use cases into operative Systeme.
You define interfaces and accompany the entire process.
You will work closely with specialist contact persons from the sales departments and marketing
and the sales and cooperation partners.

 
Your profile:

You have successfully completed a degree in computer science, mathematics or a comparable subject. Ideally, you already have professional experience in this area or have completed comparable professional training.
You have knowledge of SQL and have a strong affinity forData, numbers and technical systems.
You are proficient in using MS Office productsideally have initial experience in dealing with businessintelligence systems and the financial sector.
They are characterized by a quick wit, good skillsin problem analysis and in the consideration of procedural connections as well as goal- and result-oriented work.
Ideally, they have properties such as resilience,assertiveness and teamwork.

 
Have we piqued your interest? Then we look forward to receiving your application! 
Online at www.sv-karriere.de.Your contact person in Human Resources is Mr. Bernd Schmid (Tel. 0711 898-45658).",03/06/2022
Intern (f/m/d) Data Science / Business Analytics,Drees & Sommer,"48155 Münster, Germany","Full job description





Your tasks
Would you like to gain valuable and practical experience in the field of data science and business analytics and support us in the further development of our project management processes? Then we are looking for you as an intern to support our team. You will take on these tasks:Support in the analysis of company, project and market data
Participation in merging complex data from different data sources and developing BI solution concepts
Participation in the conception and implementation of BI, data warehouse and reporting projects
Support in the design of new user solutions for the optimization of typical processes with master and mass data as well as inventory and transaction data in deadline, cost and quality management in the construction and logistics industry
Presentation of quantitative and qualitative information as results in dashboards, reports and reports
your profile
Studies in the field of business mathematics, business informatics, business administration or a comparable course
Good knowledge of common MS Office programs
Initial knowledge of programming (preferably VBA, Python and/or R), initial experience with relational databases (e.g. SQL) or object-oriented programming languages ​​(C++, JAVA, or similar) are desirable
Confident team player (m/f/d) with an analytical, open and committed approach
Assertiveness and high social skills
We offer
Individually tailored student mentoring
Modern and ergonomic workplaces
Access to the corporate benefits portal, free drinks and fresh fruit
Employee referral program, networking events, team workshops


Opt for spirit,fun and diverse tasks



CAREER BROCHURE







Your contact person

Julia Kessen




APPLY NOW




your place of work

Drees & Sommer SE
At Mittelhafen 10
48155 Munster






follow us",13/04/2022
Remote - Senior Data Scientist (m/w/d),Steadforce GmbH,"Homeoffice-Coaching, Tacitusstraße, Cologne, Germany","Job Description


employment type
full time



Full job description

Your tasks
Using methods of mathematics, computer science and statistics, you gain information from large amounts of data that can be beneficial for Steadforce and our customers.
You recognize patterns and connections, derive hypotheses from them, test them and present your results as a basis for decision-making.
You design and develop end-to-end data science or AI solutions for our customers from various industries.
As a senior data scientist, you will actively participate in the planning and development of research prototypes.
Where others see a data jungle, you recognize new business models and process optimization approaches.
your profile
You have a degree in a MINT subject.
You have 2-5 years of professional experience or have a doctorate in the STEM field.
You have very good know-how in statistics and ideally experience with linear and quadratic optimization.
You have good knowledge of various machine learning methods.
You have experience in the preparation and exploration of data as well as in the design and implementation of data pipelines.
Good knowledge of the Python data science stack is part of your technological portfolio.
You are fluent in German - and very good in English.
Ideally, you have experience with container solutions such as Docker.
Experience in software development (Java or C#) and with cloud technologies (AWS or Azure) is a great advantage.
*Your Benefits*
Attractive remuneration, flexible working hours, working time account and part-time models.
Your choice of high-end tools: iPhone, MacBook or ThinkPad.
Contingent hours within the ""Steadforce Campus"" at your disposal for individual further training.
Central office with modern equipment and good transport connections.
Motivated, collegial and dynamic working atmosphere.
Private accident insurance.
An annual contribution to the company pension scheme.
Great company events: annual kick-off party, cooking events, Oktoberfest, roof top events.
Award as a ""family-friendly company"" (Family Office).
Corporate Benefits, Job Wheel, Gaming Room and much more.....
Steadforce develops scalable, secure and sustainable digital platforms and turns visions into reality.With over 100 experts, we solve the most complex challenges.Steadforce realizes all of our customers' visions at a high professional level. We work methodically, with attention to detail and great enthusiasm for everything we do. We guide our customers through their data value chain, which includes:
Determination of data requirements and review of existing data
Connect data, services and devices in real time
Analyzing data, making predictions, making decisions based on data
Automation of workflows, applications and processes
From Co-Creation to Dev and Ops to Evolve, our holistic service portfolio enables continuous innovation, end-to-end monitoring, rapid modernization and successful collaboration until business goals are achieved.We create perfectly customized solutions for our customers. Well-known companies benefit from our know-how.Learn more about us at www.steadforce.com
Location: Westenstrasse, 80686 Munich
Type of position: full-time
Working hours:
Monday to Friday",25/05/2022
Data Analyst Intern/ Working Student (m/f/d),Statkraft,"Düsseldorf, Germany","Full job description



Data Analyst Intern/ Working Student (m/f/d)


Location: Düsseldorf


Start date: ASAP


Are you passionate about working with data?


Are you looking to start a career as a Data Analyst? You could help solve the climate crisis with Statkraft. This is your chance to realise the potential of renewable energy and make a positive impact on our planet.


Why Statkraft?


Statkraft has been making clean energy possible for over a century. That’s what we offer. 125 years of unrivalled expertise in supplying the world with what it needs most. We envision a world that runs entirely on renewable energy. Because in the fight against climate change, we don’t see renewable energy as part of the solution – we believe it must be the solution and we need your help in doing that. With us, you’ll shape and build a career that is truly forward-facing with many amazing opportunities and offerings to match.


Working in Digitalization, Software Development & Analytics in Trading & Origination:


As part of the Trading & Origination Department, the Digitalization Unit is an exciting and newly established division with the specific remit of driving forward Statkraft’s digitalisation agenda. The Digitalization team will play a crucial and fundamental role in enabling the Trading & Origination function delivers on its strategic targets of expanding both the proprietary trading and customer service businesses.


The new function will work in partnership with the Trading & Origination teams building a competitive edge for our commercial business via data and digitalization. Working as part of a high performing team, it is anticipated that the Digitalization Unit will quickly be able to make an impact through innovative process improvement, knowledge share and project delivery. It will also provide an essential strategic partnering bridge between the needs of the business and the IT solutions available.


The role:


The role will support strategic projects and initiatives for development of high-quality data & analytics solutions to meet the current and future business information demand.


It will focus on many different analytics tools and users, from Python developers, IT professionals, Citizen developers and BI developers.


The role will include:




Setup processes to extract and load large data sets


Extend and continue to build out our team’s dashboard analytics


Manage and monitor our automated tasks



About you:





University student/graduate enrolled in Computing, Maths, Electrical Engineering or similar degree


Knowledge of programming (preferably Python) is an advantage


Detail Oriented and delivery focus


Ability to capture data and analyze


Fluency in German language is an advantage





What we offer


A career with Statkraft is a career filled with purpose – meaning that every employee is not just making a living, they are making a real difference to the planet, our communities and the future. Together, we work on the front lines of changing the game for renewable energy. From hydrogen development to algorithmic trading and everything in between. We have 125 years of unrivalled expertise in creating the technologies that put ecosystems, communities and our environment first. With us, you’ll shape a career that is truly forward-facing with many amazing opportunities and offerings to match.



Unlimited learning opportunities at various levels of the organisation including Linkedin Learning and inspiring leaderships program like IMD






The chance to grow your career alongside a truly global network of experts, leaders, specialists and graduates from different countries and backgrounds


The opportunity to work somewhere with pride, and to be able to honestly say “My work is contributing to saving the planet”


A work culture that puts emphasis on the individual, offering flexible working solutions, parental leave and work life balance principles


A focus on fun outside of work, supported by various activity groups such as soccer, yoga, sailing, climbing, boxing, cabin rentals, and much more


Being part of a company proudly certified as a ‘Great Place to Work’ (Germany only).




Statkraft offers competitive terms of employment and benefits schemes, and we’re a trusted employer that puts the safety of our people first. We believe that a safe and healthy working environment is a matter of choice, not chance.


Statkraft manages critical infrastructure and services in several countries. The applicant must be eligible for security clearance and authorisation.",11/04/2022
Data Management Experte (m/w/d),ING Deutschland,"Frankfurt, Germany","Data Management Experte (m/w/d) 
am Standort Frankfurt
 
Jeden Tag halten wir unseren Privat- und Firmenkunden den Rücken frei, damit sich Wünsche erfüllen, neue Geschäftsideen Aufwind gewinnen und langfristige Ziele erreicht werden. Die Datenströme, die dabei fließen, umspannen den ganzen Erdball. Denn wir sind da, wo unsere Kunden sind. Bereichern Sie unser Team „Data Governance & Change“ und verankern Sie das Vertrauen in unsere Datenstrategie!
 
Ihre Aufgaben:
... sind abteilungs- sowie länderübergreifend und höchst integrativ. An der Schnittstelle zwischen IT und Fachbereichen sowie zwischen ING Deutschland und ING Konzern sind Sie das verbindende Element und sorgen für die Einhaltung der globalen Vorgaben hinsichtlich Datendefinitionen und Richtlinien. Mit Blick auf die Zukunft entwickeln Sie das zentrale Datenglossar weiter und stellen konzernweit die konsistente Datendefinition (Datentaxonomie) und Data Lineage sicher. Sie konzipieren und etablieren die erforderlichen Prozesse in enger Abstimmung mit den anderen Data-Management-Einheiten. Durch Ihr regelmäßiges Monitoring bemerken und melden Sie Auffälligkeiten sofort. Wenn es mal eng wird, unterstützen Sie Ihre Team-Kolleginnen und Kollegen darüber hinaus bei weiteren Aufgaben der Data Governance wie beispielsweise dem Rollenmanagement.
 
Ihr Profil:

Studium der Wirtschaftswissenschaften, (Wirtschafts-)Informatik oder eine vergleichbare Ausbildung
Erfahrung im Datenmanagement, vor allem im Bereich Datenmodellierung und Metadatenmanagement, idealerweise im Kontext Banken / Finanzen
Praxis in der Projektarbeit, möglichst, auch im internationalen Kontext
IT-Affinität und -verständnis, Kenntnisse über relationale Datenbanksysteme (bevorzugt Oracle) und gute Kenntnisse in SQL und/oder PL/SQL; Know-how im Umgang mit REST-Schnittstellen von Vorteil, aber kein Muss
Spaß daran, zentrale Prozesse aufzubauen und zu managen
Analytisches und ganzheitliches Denken, eigenständiger Arbeitsstil und hohe intrinsische Motivation
Sehr gutes Deutsch und Englisch

 
Wir bieten zahlreiche Benefits

Betriebliche Altersvorsorge, Vermögenswirksame Leistungen, regionales Jobticket & BikeLeasING, Betriebsrestaurant
Mobiles Arbeiten je nach Position und Abteilung im Rahmen von betrieblichen, regulatorischen und gesetzlichen ­Anforderungen, individuelle Arbeitszeitmodelle, Sabbatical, Bezuschussung von Pflege- & Kinderbetreuungskosten
Eigene Budgets für persönliche Entwicklung und ­Gesundheit plus persönliches Ausstattungsbudget für Ihren mobilen Arbeitsplatz",21/04/2022
Junior Consultant Data Engineering,Data Insights GmbH,"80337 Munich, Germany","Full job description


Which tasks are waiting for you?

Database, ETL, Application or Web Service development
Data modelling, Data Warehousing and DataVault
Parallel, Batch and Stream-processing
Working with data, algorithms and numbers
Software development
Design and develop real-time data driven solutions

What do we expect from you?

Bachelor/Master degree in Computer Science, Physics, Statistics, Mathematics, Economics, Information Management or in similar qualifications
Programming languages: Java, Python, C/C++, SQL, JavaScript
High willingness to travel
German (C1), English (fluent): in writing and speaking
Good to have:

Spark
Experience of ETL/ELT and Data-Warehouse Systems (DWHs)
Distributed data processing systems and databases
Knowledge/experience with Hadoop, Kafka, AWS



What can we offer you?

Start-up culture
Top-class team of data scientists, data engineers and information management specialists in a pleasant working environment
Management 3.0 and Agile Organisation
Modern and central office in Munich
Continuous learning and training with at least 10 training days every year
The chance to take responsibility from early onwards
Newest equipment of your choice (MacBook, iPhone, Samsung Galaxy etc.)
Regular team events and celebrations including a Summer Party, Octoberfest, Christmas Party, monthly dinners, and Data Talks
30 days vacation
Performance and market competitive salary
Knowledge about new and interesting projects in the world of big data
We will help with your relocation to Munich
Three ‘Social Days’ a year – it is important for us to give back to the community
Urban Sports Club Membership

Sounds interesting?
Please send all relevant documents (i.e. CV, motivation letter, academic degrees, and work references) and your earliest possible starting date via our form:",11/04/2022
Data Analyst & Digital Transformation Developer (m/f/diverse),Continental AG,"Regensburg, Germany","In this role you will be responsible for development and maintenance of AWS cloud-based systems for the creation of reports and forecast models for the global Continental Automotive Supply Chain considering the most modern and innovative IT solutions, by today via MS Power-BI connected to AWS RedShift.By this, you have to work out improvements and potential and risk avoidance potential based on the generated global supply chain data.Your tasks are:Enable and drive the implementation of digitization activities and the use of cloud service in cooperation with the responsible departments
Conception of complex and innovative software and database solutions, considering the possibilities of modern technologies (e.g. AWS IoT, AWS RedShift, Power BI, R-Studio, Phyton)
Coordinating and supporting the implementation of the designed solutions in close cooperation with internal customers and internal / external software development teams / IT
Managing sub-projects
Consulting internal customers regarding efficiency and optimal usage of the provided solutions including independent support and training of key users
Lead of the knowledge cell and maintenance of corresponding community
Responsibility for several technology's / tool's in the area of expertise




What we offer

Next to the interesting daily work the region around Regensburg is offering a high recreational value and quality of life
Extensive benefits at the location such as different canteens and cafeterias, a continuing education and training, health management, physiotherapy etc.
We are promoting lifelong Learning combined with personal and professional development
For an improved work-life balance we support you with various initiatives for a better compatibility of family and career
Furthermore, you will have the option of a flexible work schedule model
Diverse topics and projects as well as insights into the Automotive industry
You would like to learn more about our additional services?

You are looking for an individual working time model? We support part-time work.",25/05/2022
"Intern (f/m/d) Data Engineering - RF360, Munich Germany",Qcom,"München, Germany","Job Description


employment type
full time



Full job description


Company:
RF360 Europe GmbH
Job Area:
Interns Group, Interns Group > Interim Engineering Intern - SW
General Summary:
 
Tasks:


Support the setup, day-to-day activities and maintenance of data pipelines


Evaluation and testing of different datatransfer options


Help in troubleshooting and incident resolution of data availability issues


Required education:


Studies in Information Technology, Engineering, or other technical areas


Required knowledge:


Interest in data engineering and datatransfer


Basic skillset in Python, SQL and Linux


Eager to learn specific needs and demands of data driven companies in the semiconductor industry


Self-motivated and good team player


Knowledge of ETL tools (e.g., Apache Nifi) or Apache Kafka is a plus


Ability to express yourself in English is a must. German skills are a well-recognized add-on

References to a particular number of years experience are for indicative purposes only. Applications from candidates with equivalent experience will be considered, provided that the candidate can demonstrate an ability to fulfill the principal duties of the role and possesses the required competencies.








Applicants: If you are an individual with a disability and need an accommodation during the application/hiring process, please call Qualcomm’s toll-free number found
here
for assistance. Qualcomm will provide reasonable accommodations, upon request, to support individuals with disabilities to be able participate in the hiring process. Qualcomm is also committed to making our workplace accessible for individuals with disabilities. Qualcomm is an equal opportunity employer and supports workforce diversity.







To all Staffing and Recruiting Agencies: Our Careers Site is only for individuals seeking a job at Qualcomm. Staffing and recruiting agencies and individuals being represented by an agency are not authorized to use this site or to submit profiles, applications or resumes, and any such submissions will be considered unsolicited. Qualcomm does not accept unsolicited resumes or applications from agencies. Please do not forward resumes to our jobs alias, Qualcomm employees or any other company location. Qualcomm is not responsible for any fees related to unsolicited resumes/applications.
If you would like more information about this role, please contact
Qualcomm Careers",03/06/2022
